timestamp,ticker,mode,long_score,short_score,confidence_label,signal_type,suggested_entry,stop_loss,target1,target2,reward_risk,atr,rsi14,vwap,rel_volume,outcome_pnl,outcome_note
2026-03-11T14:56:19,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:24,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:29,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:34,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:39,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:45,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:50,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:56:55,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:01,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:06,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:11,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:16,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:21,SNDK,live,39.3,11.7,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T14:57:26,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
